city,year,weekofyear,total_cases
sj,2011,39,112
sj,2011,40,112
sj,2011,41,112
sj,2011,42,112
sj,2011,43,24
sj,2011,44,24
sj,2011,45,24
sj,2011,46,24
sj,2011,47,22
sj,2011,48,22
sj,2011,49,22
sj,2011,50,112
sj,2011,51,112
sj,2012,52,112
sj,2012,1,30
sj,2012,2,30
sj,2012,3,30
sj,2012,4,30
sj,2012,5,30
sj,2012,6,30
sj,2012,7,30
sj,2012,8,27
sj,2012,9,25
sj,2012,10,25
sj,2012,11,25
sj,2012,12,27
sj,2012,13,25
sj,2012,14,25
sj,2012,15,25
sj,2012,16,25
sj,2012,17,25
sj,2012,18,25
sj,2012,19,25
sj,2012,20,25
sj,2012,21,25
sj,2012,22,30
sj,2012,23,30
sj,2012,24,35
sj,2012,25,23
sj,2012,26,23
sj,2012,27,14
sj,2012,28,14
sj,2012,29,14
sj,2012,30,26
sj,2012,31,17
sj,2012,32,17
sj,2012,33,17
sj,2012,34,19
sj,2012,35,17
sj,2012,36,19
sj,2012,37,19
sj,2012,38,75
sj,2012,39,75
sj,2012,40,35
sj,2012,41,51
sj,2012,42,51
sj,2012,43,51
sj,2012,44,51
sj,2012,45,47
sj,2012,46,47
sj,2012,47,47
sj,2012,48,62
sj,2012,49,62
sj,2012,50,135
sj,2012,51,135
sj,2013,1,68
sj,2013,2,68
sj,2013,3,68
sj,2013,4,68
sj,2013,5,67
sj,2013,6,68
sj,2013,7,68
sj,2013,8,68
sj,2013,9,50
sj,2013,10,17
sj,2013,11,7
sj,2013,12,221
sj,2013,13,221
sj,2013,14,221
sj,2013,15,221
sj,2013,16,221
sj,2013,17,221
iq,2010,26,12
iq,2010,27,12
iq,2010,28,12
iq,2010,29,12
iq,2010,30,12
iq,2010,31,12
iq,2010,32,12
iq,2010,33,8
iq,2010,34,8
iq,2010,35,8
iq,2010,36,8
iq,2010,37,8
iq,2010,38,8
iq,2010,39,8
iq,2010,40,6
iq,2010,41,6
iq,2010,42,6
iq,2010,43,6
iq,2010,44,6
iq,2010,45,6
iq,2010,46,6
iq,2010,47,6
iq,2010,48,4
iq,2010,49,4
iq,2010,50,4
iq,2010,51,4
iq,2011,52,4
iq,2011,1,26
iq,2011,2,26
iq,2011,3,26
iq,2011,4,26
iq,2011,5,26
iq,2011,6,26
iq,2011,7,26
iq,2011,8,26
iq,2011,9,26
iq,2011,10,24
iq,2011,11,9
iq,2011,12,9
iq,2011,13,9
iq,2011,14,9
iq,2011,15,13
iq,2011,16,5
iq,2011,17,5
iq,2011,18,4
iq,2011,19,4
iq,2011,20,4
iq,2011,21,13
iq,2011,22,8
iq,2011,23,8
iq,2011,24,9
iq,2011,25,9
iq,2011,26,9
iq,2011,27,9
iq,2011,28,9
iq,2011,29,4
iq,2011,30,5
iq,2011,31,5
iq,2011,32,5
iq,2011,33,5
iq,2011,34,8
iq,2011,35,8
iq,2011,36,5
iq,2011,37,83
iq,2011,38,6
iq,2011,39,6
iq,2011,40,6
iq,2011,41,16
iq,2011,42,16
iq,2011,43,9
iq,2011,44,16
iq,2011,45,16
iq,2011,46,16
iq,2011,47,16
iq,2011,48,13
iq,2011,49,13
iq,2011,50,13
iq,2011,51,0
iq,2012,52,0
iq,2012,1,29
iq,2012,2,29
iq,2012,3,29
iq,2012,4,19
iq,2012,5,19
iq,2012,6,19
iq,2012,7,19
iq,2012,8,34
iq,2012,9,44
iq,2012,10,19
iq,2012,11,44
iq,2012,12,44
iq,2012,13,44
iq,2012,14,44
iq,2012,15,44
iq,2012,16,44
iq,2012,17,34
iq,2012,18,7
iq,2012,19,34
iq,2012,20,34
iq,2012,21,34
iq,2012,22,7
iq,2012,23,7
iq,2012,24,0
iq,2012,25,0
iq,2012,26,1
iq,2012,27,1
iq,2012,28,1
iq,2012,29,1
iq,2012,30,29
iq,2012,31,1
iq,2012,32,1
iq,2012,33,1
iq,2012,34,1
iq,2012,35,1
iq,2012,36,1
iq,2012,37,1
iq,2012,38,1
iq,2012,39,1
iq,2012,40,1
iq,2012,41,1
iq,2012,42,1
iq,2012,43,1
iq,2012,44,1
iq,2012,45,1
iq,2012,46,1
iq,2012,47,1
iq,2012,48,1
iq,2012,49,1
iq,2012,50,1
iq,2012,51,1
iq,2013,1,20
iq,2013,2,20
iq,2013,3,4
iq,2013,4,6
iq,2013,5,20
iq,2013,6,20
iq,2013,7,20
iq,2013,8,20
iq,2013,9,20
iq,2013,10,20
iq,2013,11,0
iq,2013,12,0
iq,2013,13,0
iq,2013,14,0
iq,2013,15,0
iq,2013,16,3
iq,2013,17,0
iq,2013,18,0
iq,2013,19,0
iq,2013,20,0
iq,2013,21,0
iq,2013,22,0
iq,2013,23,7
iq,2013,24,7
iq,2013,25,7
iq,2013,26,7
