city,year,weekofyear,total_cases
sj,2011,9,17
sj,2011,10,17
sj,2011,11,13
sj,2011,12,12
sj,2011,13,12
sj,2011,14,12
sj,2011,15,12
sj,2011,16,13
sj,2011,17,15
sj,2011,18,15
sj,2011,19,11
sj,2011,20,13
sj,2011,21,15
sj,2011,22,16
sj,2011,23,13
sj,2011,24,12
sj,2011,25,10
sj,2011,26,8
sj,2011,27,10
sj,2011,28,16
sj,2011,29,14
sj,2011,30,12
sj,2011,31,21
sj,2011,32,20
sj,2011,33,23
sj,2011,34,26
sj,2011,35,36
sj,2011,36,34
sj,2011,37,34
sj,2011,38,34
sj,2011,39,34
sj,2011,40,30
sj,2011,41,31
sj,2011,42,29
sj,2011,43,30
sj,2011,44,25
sj,2011,45,30
sj,2011,46,30
sj,2011,47,32
sj,2011,48,31
sj,2011,49,31
sj,2011,50,35
sj,2011,51,35
sj,2012,52,26
sj,2012,1,22
sj,2012,2,20
sj,2012,3,20
sj,2012,4,21
sj,2012,5,20
sj,2012,6,20
sj,2012,7,20
sj,2012,8,33
sj,2012,9,21
sj,2012,10,21
sj,2012,11,21
sj,2012,12,18
sj,2012,13,21
sj,2012,14,41
sj,2012,15,41
sj,2012,16,41
sj,2012,17,20
sj,2012,18,21
sj,2012,19,21
sj,2012,20,21
sj,2012,21,19
sj,2012,22,14
sj,2012,23,14
sj,2012,24,13
sj,2012,25,15
sj,2012,26,14
sj,2012,27,15
sj,2012,28,15
sj,2012,29,14
sj,2012,30,8
sj,2012,31,14
sj,2012,32,35
sj,2012,33,40
sj,2012,34,44
sj,2012,35,47
sj,2012,36,56
sj,2012,37,55
sj,2012,38,59
sj,2012,39,59
sj,2012,40,55
sj,2012,41,51
sj,2012,42,53
sj,2012,43,56
sj,2012,44,54
sj,2012,45,59
sj,2012,46,54
sj,2012,47,54
sj,2012,48,51
sj,2012,49,52
sj,2012,50,52
sj,2012,51,49
sj,2013,1,52
sj,2013,2,52
sj,2013,3,52
sj,2013,4,52
sj,2013,5,52
sj,2013,6,40
sj,2013,7,40
sj,2013,8,36
sj,2013,9,25
sj,2013,10,89
sj,2013,11,14
sj,2013,12,79
sj,2013,13,111
sj,2013,14,87
sj,2013,15,151
sj,2013,16,134
sj,2013,17,86
iq,2010,26,5
iq,2010,27,7
iq,2010,28,5
iq,2010,29,5
iq,2010,30,6
iq,2010,31,7
iq,2010,32,5
iq,2010,33,8
iq,2010,34,7
iq,2010,35,6
iq,2010,36,8
iq,2010,37,8
iq,2010,38,7
iq,2010,39,8
iq,2010,40,8
iq,2010,41,8
iq,2010,42,8
iq,2010,43,10
iq,2010,44,11
iq,2010,45,12
iq,2010,46,65
iq,2010,47,25
iq,2010,48,65
iq,2010,49,65
iq,2010,50,16
iq,2010,51,10
iq,2011,52,7
iq,2011,1,13
iq,2011,2,13
iq,2011,3,13
iq,2011,4,13
iq,2011,5,13
iq,2011,6,13
iq,2011,7,16
iq,2011,8,12
iq,2011,9,10
iq,2011,10,12
iq,2011,11,11
iq,2011,12,9
iq,2011,13,8
iq,2011,14,8
iq,2011,15,8
iq,2011,16,7
iq,2011,17,7
iq,2011,18,4
iq,2011,19,6
iq,2011,20,6
iq,2011,21,4
iq,2011,22,4
iq,2011,23,4
iq,2011,24,4
iq,2011,25,4
iq,2011,26,4
iq,2011,27,4
iq,2011,28,5
iq,2011,29,5
iq,2011,30,17
iq,2011,31,6
iq,2011,32,6
iq,2011,33,6
iq,2011,34,3
iq,2011,35,3
iq,2011,36,4
iq,2011,37,52
iq,2011,38,43
iq,2011,39,14
iq,2011,40,7
iq,2011,41,8
iq,2011,42,14
iq,2011,43,14
iq,2011,44,14
iq,2011,45,16
iq,2011,46,13
iq,2011,47,13
iq,2011,48,16
iq,2011,49,15
iq,2011,50,18
iq,2011,51,18
iq,2012,52,10
iq,2012,1,25
iq,2012,2,22
iq,2012,3,37
iq,2012,4,37
iq,2012,5,36
iq,2012,6,37
iq,2012,7,29
iq,2012,8,37
iq,2012,9,35
iq,2012,10,22
iq,2012,11,24
iq,2012,12,23
iq,2012,13,29
iq,2012,14,29
iq,2012,15,28
iq,2012,16,28
iq,2012,17,35
iq,2012,18,12
iq,2012,19,35
iq,2012,20,35
iq,2012,21,29
iq,2012,22,29
iq,2012,23,11
iq,2012,24,10
iq,2012,25,12
iq,2012,26,12
iq,2012,27,10
iq,2012,28,9
iq,2012,29,8
iq,2012,30,7
iq,2012,31,7
iq,2012,32,7
iq,2012,33,8
iq,2012,34,7
iq,2012,35,7
iq,2012,36,7
iq,2012,37,8
iq,2012,38,7
iq,2012,39,7
iq,2012,40,14
iq,2012,41,14
iq,2012,42,15
iq,2012,43,15
iq,2012,44,15
iq,2012,45,15
iq,2012,46,15
iq,2012,47,15
iq,2012,48,15
iq,2012,49,15
iq,2012,50,15
iq,2012,51,12
iq,2013,1,16
iq,2013,2,16
iq,2013,3,17
iq,2013,4,19
iq,2013,5,20
iq,2013,6,20
iq,2013,7,20
iq,2013,8,20
iq,2013,9,20
iq,2013,10,10
iq,2013,11,8
iq,2013,12,9
iq,2013,13,9
iq,2013,14,5
iq,2013,15,5
iq,2013,16,7
iq,2013,17,5
iq,2013,18,5
iq,2013,19,8
iq,2013,20,9
iq,2013,21,10
iq,2013,22,10
iq,2013,23,10
iq,2013,24,9
iq,2013,25,8
iq,2013,26,8
